TV Show Titles,TV Show Years,TV Show Genre,TV Show IMDB Rating,TV Show Runtime,TV Show Production Country,TV Show Streaming Platforms
MTV Splitsvilla,2008,"Reality TV, Drama, Romance",3.8,43min,India,Jio Cinema
How I Met Your Mother,2005,"Comedy, Drama, Romance",8.3,24min,United States,Hotstar
Maamla Legal Hai,2024,"Drama, Comedy",8.1,32min,India,Netflix
Maharani,2021,Drama,7.9,44min,India,"VI movies and tv , Sony Liv"
We Were the Lucky Ones,2024,Drama,7.4,56min,United States,Hotstar
Scam 1992,2020,"Crime, Drama, Mystery & Thriller",9.3,52min,India,Sony Liv
X-Men '97,2024,"Science-Fiction, Animation, Action & Adventure, Fantasy",9.0,33min,United States,Hotstar
Breaking Bad,2008,"Drama, Crime, Mystery & Thriller",9.5,47min,United States,Netflix
Grey's Anatomy,2005,"Drama, Romance",7.6,48min,United States,Hotstar
Bodkin,2024,"Drama, Mystery & Thriller, Comedy",7.0,50min,United States,Netflix
Dr. Arora,2022,"Comedy, Drama",7.1,37min,India,Sony Liv
The Boys,2019,"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7,1h 0min,United States,Amazon Prime Video
One-Punch Man,2015,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction",8.7,24min,Japan,"Netflix , Crunchyroll , Amazon Prime Video"
Doctor Who,2005,"Science-Fiction, Action & Adventure, Drama",8.6,1h 4min,United Kingdom,Amazon Prime Video
Yellowstone,2018,"Drama, Western",8.7,50min,United States,Netflix
Paatal Lok,2020,"Drama, Crime, Mystery & Thriller",8.1,43min,India,Amazon Prime Video
Them,2021,"Drama, Horror, Mystery & Thriller",7.5,41min,United States,Amazon Prime Video
Sarkaar,2021,Reality TV,7.5,52min,India,aha
Brigands: The Quest for Gold,2024,"Drama, History, Action & Adventure",5.6,51min,Italy,Netflix
Maigret,2016,"Drama, Mystery & Thriller, Crime",7.8,1h 28min,United Kingdom,Netflix
The Railway Men - The Untold Story of Bhopal 1984,2023,"Drama, Mystery & Thriller, History",8.5,59min,India,Netflix
"Ashley Madison: Sex, Lies & Scandal",2024,Documentary,6.3,52min,United Kingdom,Netflix
The Flash,2014,"Drama, Science-Fiction, Action & Adventure",7.5,45min,United States,Netflix
Loki,2021,"Action & Adventure, Fantasy, Science-Fiction",8.2,49min,United States,Hotstar
The Broken News,2022,"Drama, Mystery & Thriller",7.6,36min,India,"VI movies and tv , Zee5"
9-1-1,2018,"Drama, Crime, Action & Adventure, Mystery & Thriller",7.9,44min,United States,Hotstar
Sugar,2024,"Drama, Mystery & Thriller, Crime",7.6,36min,United States,Apple TV Plus
Genius,2017,"Drama, History",8.2,51min,United States,Hotstar
Invincible,2021,"Science-Fiction, Action & Adventure, Drama, Animation, Fantasy, Mystery & Thriller",8.7,48min,United States,Amazon Prime Video
Damaged,2018,"Drama, Crime, Mystery & Thriller, Horror",5.5,20min,India,VI movies and tv
Wednesday,2022,"Science-Fiction, Mystery & Thriller, Comedy, Crime, Fantasy, Horror, Kids & Family",8.1,49min,United States,Netflix
DEATH NOTE,2006,"Science-Fiction, Animation, Crime, Drama, Fantasy, Mystery & Thriller",8.9,24min,Japan,Netflix
Dark,2017,"Drama, Science-Fiction, Crime, Mystery & Thriller",8.7,56min,Germany,Netflix
Under the Dome,2013,"Drama, Mystery & Thriller, Science-Fiction",6.5,43min,United States,Amazon Prime Video
You,2018,"Drama, Mystery & Thriller, Crime, Romance",7.7,48min,United States,Netflix
Better Call Saul,2015,"Crime, Drama",9.0,50min,United States,Netflix
White Collar,2009,"Drama, Comedy, Crime",8.2,44min,United States,Hotstar
Kaiju No. 8,2024,"Horror, Science-Fiction, Animation, Action & Adventure, Fantasy",8.3,23min,Japan,Crunchyroll
Lootere,2024,"Action & Adventure, Crime",7.0,45min,India,Hotstar
