Movies Titles,Movies Years,Movies Genre,Movies IMDB Rating,Movies Runtime,Movies Production Country,Movies Streaming Platforms
Kung Fu Panda,2008,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy",7.6,1h 32min,United States,"Google Play Movies , Hungama Play , Amazon Video , Apple TV , Zee5 , YouTube"
Migration,2023,"Animation, Action & Adventure, Comedy, Kids & Family",6.7,1h 23min,United States,"Google Play Movies , YouTube , Jio Cinema , Hungama Play , Apple TV , Zee5 , Amazon Video"
DeAr,2024,"Romance, Kids & Family, Drama",5.1,2h 14min,India,Netflix
Late Night with the Devil,2024,Horror,7.1,1h 33min,"United Arab Emirates, United States, Australia","Amazon Video , Amazon Prime Video"
Veppam Kulir Mazhai,2024,Mystery & Thriller,8.2,2h 12min,India,"Google Play Movies , aha , YouTube , Amazon Prime Video"
"The Gangster, the Cop, the Devil",2019,"Mystery & Thriller, Action & Adventure, Crime",6.9,1h 49min,South Korea,"Amazon Video , Amazon Prime Video"
Aranmanai 4,2024,"Horror, Comedy",6.3,2h 28min,India,Bookmyshow
Bastar: The Naxal Story,2024,"Action & Adventure, Crime, Drama, War & Military",6.6,2h 4min,India,Zee5
Skanda: The Attacker,2023,"Action & Adventure, Drama, Romance",4.2,2h 47min,India,Hotstar
Pushpa: The Rise,2021,"Action & Adventure, Drama, Mystery & Thriller, Crime",7.6,2h 59min,India,"Bookmyshow , Amazon Video , Amazon Prime Video"
Bhimaa,2024,"Fantasy, Action & Adventure",5.9,2h 21min,India,"Bookmyshow , Hotstar"
May December,2023,"Drama, Comedy",6.8,1h 57min,United States,Amazon Prime Video
8 A.M. Metro,2023,Drama,7.4,1h 55min,India,Zee5
War for the Planet of the Apes,2017,"Drama, Science-Fiction, Action & Adventure, Mystery & Thriller",7.4,2h 20min,United States,"Google Play Movies , YouTube , Apple TV , Hotstar , Amazon Video"
Ranam Aram Thavarel,2024,Mystery & Thriller,6.1,2h 1min,India,"aha , Amazon Prime Video"
The Kerala Story,2023,Drama,6.9,2h 18min,India,Zee5
The Judge,2014,"Drama, Crime, Mystery & Thriller, Made in Europe",7.4,2h 21min,United States,"Google Play Movies , YouTube , Jio Cinema , Netflix , Apple TV , Amazon Video"
The Ministry of Ungentlemanly Warfare,2024,"Action & Adventure, Drama, War & Military",6.9,2h 0min,"Turkey, United States, United Kingdom","Amazon Video , Amazon Prime Video"
Abigail,2024,"Horror, Mystery & Thriller",6.7,1h 49min,United States,Bookmyshow
Kaagaz 2,2024,Drama,6.3,2h 5min,India,Amazon Prime Video
Wonka,2023,"Fantasy, Comedy, Kids & Family",7.0,1h 57min,"United Kingdom, United States","Google Play Movies , YouTube , Jio Cinema , Apple TV , Bookmyshow , Amazon Video"
Godzilla vs. Kong,2021,"Science-Fiction, Action & Adventure, Mystery & Thriller",6.3,1h 53min,United States,"Google Play Movies , Amazon Video , Apple TV , Amazon Prime Video , Tata Play , YouTube"
Geethanjali Malli Vachindi,2024,"Horror, Comedy",5.8,2h 24min,India,"aha , Bookmyshow , Amazon Prime Video"
Dawn of the Planet of the Apes,2014,"Drama, Mystery & Thriller, Science-Fiction, Action & Adventure, Made in Europe",7.6,2h 10min,"United States, United Kingdom","Google Play Movies , Amazon Video , Apple TV , Hotstar , YouTube"
The Wolf of Wall Street,2013,"Comedy, Crime, Drama",8.2,3h 0min,United States,"Lionsgate Play , Google Play Movies , Lionsgate Play Amazon Channel , Lionsgate Play Apple TV Channel , YouTube"
The Intern,2015,"Comedy, Drama",7.1,2h 1min,United States,"Google Play Movies , Jio Cinema , Amazon Video , Apple TV , YouTube"
13 Bombs,2023,"Action & Adventure, Crime, Mystery & Thriller",6.6,2h 23min,"South Korea, Indonesia",Netflix
